gmm01f.out        --- input file: Ag-Si-2s-405nm.k     xv: 0,781858511496864      xs: 0,877606506302887
Ranges of Euler angles: 0   0   0   0   0   0
nbeta,nthet,nphai:    1    1    1      # of orientations averaged: 1
       Cext         Cabs         Csca         Cbak         Cpr     <cos(theta)>
  151,0      0,01137   0,1322      0,00619      0,00028      0,00022      0,00468
  152,0      0,01160   0,1233      0,00626      0,00028      0,00022      0,00483
  153,0      0,01182   0,1146      0,00633      0,00028      0,00022      0,00498
  154,0      0,01205   0,1063      0,00641      0,00028      0,00023      0,00513
  155,0      0,01227   0,0982      0,00648      0,00028      0,00023      0,00528
  156,0      0,01249   0,0905      0,00655      0,00028      0,00024      0,00542
  157,0      0,01271   0,0831      0,00662      0,00028      0,00024      0,00557
  158,0      0,01293   0,0760      0,00669      0,00028      0,00024      0,00571
  159,0      0,01314   0,0692      0,00676      0,00028      0,00025      0,00585
  160,0      0,01335   0,0627      0,00683      0,00028      0,00025      0,00599
  161,0      0,01356   0,0566      0,00689      0,00028      0,00025      0,00613
  162,0      0,01376   0,0508      0,00696      0,00028      0,00026      0,00626
  163,0      0,01395   0,0452      0,00702      0,00028      0,00026      0,00639
  164,0      0,01413   0,0401      0,00708      0,00028      0,00026      0,00651
  165,0      0,01431   0,0352      0,00713      0,00028      0,00026      0,00663
  166,0      0,01447   0,0306      0,00718      0,00028      0,00027      0,00674
  167,0      0,01463   0,0264      0,00723      0,00028      0,00027      0,00685
  168,0      0,01478   0,0225      0,00728      0,00028      0,00027      0,00695
  169,0      0,01492   0,0189      0,00732      0,00028      0,00027      0,00704
  170,0      0,01505   0,0156      0,00736      0,00028      0,00027      0,00713
  171,0      0,01517   0,0126      0,00740      0,00028      0,00028      0,00721
  172,0      0,01527   0,0100      0,00743      0,00028      0,00028      0,00728
  173,0      0,01537   0,0076      0,00746      0,00028      0,00028      0,00735
  174,0      0,01545   0,0056      0,00749      0,00028      0,00028      0,00740
  175,0      0,01552   0,0039      0,00751      0,00028      0,00028      0,00745
  176,0      0,01558   0,0025      0,00753      0,00028      0,00028      0,00749
  177,0      0,01563   0,0014      0,00754      0,00028      0,00028      0,00752
  178,0      0,01566   0,0006      0,00755      0,00028      0,00028      0,00754
  179,0      0,01568   0,0002      0,00756      0,00028      0,00028      0,00756
  180,0      0,01569   0,0000      0,00756      0,00028      0,00028      0,00756
