gmm01f.out        --- input file: Ag-Si-2s-405nm.k     xv: 1,95464627874216      xs: 2,19401626575722
Ranges of Euler angles: 0   0   90   90   0   0
nbeta,nthet,nphai:    1    1    1      # of orientations averaged: 1
       Cext         Cabs         Csca         Cbak         Cpr     <cos(theta)>
 t 126739,03419  51560,42274  75178,61146  12349,24224  91428,12386      0,46969
 x 126739,03419  51560,42274  75178,61146  12349,24224  91428,12386      0,46969
 y 126739,03419  51560,42274  75178,61146  12349,24224  91428,12386      0,46969
      Qextv        Qabsv        Qscav        Qbakv        Qprv     <cos(theta)>
  156,0      0,40531   0,0343      0,20962      0,00000      0,00000      0,19570
  157,0      0,40591   0,0318      0,20940      0,00000      0,00000      0,19651
  158,0      0,40679   0,0291      0,20931      0,00000      0,00000      0,19748
  159,0      0,40795   0,0264      0,20935      0,00000      0,00000      0,19860
  160,0      0,40935   0,0236      0,20951      0,00000      0,00000      0,19983
  161,0      0,41098   0,0210      0,20980      0,00000      0,00000      0,20118
  162,0      0,41282   0,0184      0,21021      0,00000      0,00000      0,20261
  163,0      0,41487   0,0159      0,21074      0,00000      0,00000      0,20413
  164,0      0,41711   0,0136      0,21139      0,00000      0,00000      0,20571
  165,0      0,41952   0,0115      0,21217      0,00000      0,00000      0,20735
  166,0      0,42209   0,0095      0,21305      0,00000      0,00000      0,20904
  167,0      0,42483   0,0077      0,21406      0,00000      0,00000      0,21077
  168,0      0,42771   0,0062      0,21518      0,00000      0,00000      0,21254
  169,0      0,43074   0,0048      0,21641      0,00000      0,00000      0,21434
  170,0      0,43391   0,0036      0,21775      0,00000      0,00000      0,21617
  171,0      0,43722   0,0027      0,21919      0,00000      0,00000      0,21803
  172,0      0,44066   0,0019      0,22074      0,00000      0,00000      0,21992
  173,0      0,44424   0,0013      0,22240      0,00000      0,00000      0,22184
  174,0      0,44795   0,0008      0,22415      0,00000      0,00000      0,22380
  175,0      0,45179   0,0004      0,22600      0,00000      0,00000      0,22579
  176,0      0,45577   0,0002      0,22793      0,00000      0,00000      0,22783
  177,0      0,45988   0,0001      0,22996      0,00000      0,00000      0,22992
  178,0      0,46413   0,0000      0,23207      0,00000      0,00000      0,23206
  179,0      0,46852   0,0000      0,23426      0,00000      0,00000      0,23426
  180,0      0,47305   0,0000      0,23653      0,00000      0,00000      0,23653
